"Below target quantity",,,,,,
"Pos","Tgt.","Act.","No.","Item No.","Name","Repair"
13,2,1,-1,"495.394","SynMesh End Ring Titn 5° Lateral/ Anterior 17x22mm Oblong",
21,24,10,-14,"495.410","Synmesh Lock Screw Titn 2mm Low Prof",
37,2,1,-1,"495.461","Synmesh Titn 17x22x6mm Obl",
"EORT619","S/N:","001","A/O 4.0MM S/T CORTEX SCREWS ""C"" 1",,,
14,4,3,-1,"206.438","Cort Screw 4.0x38mm Self Tap",
"EORT625","S/N:","001","A/O 2.7MM/3.5MM LCP DISTAL FIBULA PLATE ""C"" 1",,,
7,1,0,-1,"02.112.113","Plate LCP Posterolateral Distal Fibula 2.7mm/3.5mm 6 Holes",
"S/N:","002","A/O 2.7MM/3.5MM LCP DISTAL FIBULA PLATE ""C"" 2",,,,
28,3,2,-1,"202.208","Screw Locking Self Tap 2.7x8mm",
"EORT633","S/N:","001","NEXA NEXFIX SNAP-OFF SCREWS ""C"" 1",,,
3,4,3,-1,"NCP-P045","K-Wires 0.45mm",
"EORT634","S/N:","001","NEXFIX 3.0MM COMPRESSION SCREW SYSTEM ""C"" 1",,,
24,4,3,-1,"NCS-GP11","Guidewires 1.1mm",
"S/N:","002","NEXFIX 3.0MM COMPRESSION SCREW SYSTEM ""C"" 2",,,,
17,2,1,-1,"17-5424","Driver Handle",
"EORT638","S/N:","002","NEX/GEN LCCK REVISION REAMER PAN 1/ 2",,,
23,1,0,-1,"5987-50","Im Hole Locator",
"EORT642","S/N:","002","NEX/GEN LCCK/CRA GENERAL INSTRUMENTS PAN 4/ 2",,,
13,1,0,-1,"5987-025-00","LCCK Straight/Offset Bushing Adaptor",
"EORT653","S/N:","004","POW DRILL REM B STRYKER 4",,,
6,1,0,-1,"1375-15","Burr Brush",
"S/N:","007","POW DRILL REM B STRYKER 7",,,,
6,1,0,-1,"1375-15","Burr Brush",
"EORT659","S/N:","001","S-ROM PAN 2 INSTRUMENTS TRIALS 1",,,
49,1,0,-1,"2576-18-100","Trial Sleeve 18B Small",
"EORT662","S/N:","001","ORTHOHELIX MAXLOCK EXTREME PLATING SYSTEM ""C"" 1",,,
53,4,2,-2,"MFT-011-35-375","Screw Non-Locking 3.5mm 37.5mm",
94,6,5,-1,"MFT-021-35-30","Screw Locking 3.5mm 30mm",
"EORT701","S/N:","001","GLOBAL SHOULDER SUPPLEMENT 1",,,
24,1,0,-1,"212862130","Guide Cvd Rt",
"S/N:","002","GLOBAL SHOULDER SUPPLEMENT 2",,,,
24,1,0,-1,"212862130","Guide Cvd Rt",
25,1,0,-1,"212862120","Guide Cvd Left",
33,1,0,-1,"2128-61-001","Reamer Glenoid 44mm",
"EORT702","S/N:","001","A/O 1.5MM LOCKING COMPRESSION PLATE SET SS ""C"" 1",,,
2,6,5,-1,"02.214.006","Screw Locking 1.5x6mm",
4,6,5,-1,"02.214.008","Screw Locking 1.5x8mm",
"EORT719","S/N:","001","DEPUY PROSTALAC HIP SYSTEM 1",,,
33,3,2,-1,"2541-43","Mold Quick Release Nut",
"EORT727","S/N:","001","ORTHO OPEN SHOULDER INSTRUMENTS 1",,,
2,2,1,-1,"BJ061R","Mixter Clamp 8-3/4""",
29,1,0,-1,"50-1001","Retractor Glenoid Spiked",
33,1,0,-1,"D258702","Retractor Fakuda Large",
"S/N:","002","ORTHO OPEN SHOULDER INSTRUMENTS 2",,,,
2,2,1,-1,"BJ061R","Mixter Clamp 8-3/4""",
"S/N:","004","ORTHO OPEN SHOULDER INSTRUMENTS 4",,,,
6,1,0,-1,"DO773R","Miller Bone Rasp 7"" 6mm/5mm",
"EORT728","S/N:","001","STRYKER MDM DR NEILSON ACETABULAR INSTR/TRIALS ""C"" 1",,,
5,1,0,-1,"1235-0-009","Head Supporting Piece",
"EORT749","S/N:","001","A/O TFN RADIOLUCENT INSERTION HANDLE ""C"" 1",,,
2,2,0,-2,"03.040.474","Connecting Screw",
"EORT760","S/N:","001","DR SCHWAB PAO/SDH-FAI INSTRUMENTS 1",,,
41,1,0,-1,"22.00.97","Retractor Nerve Root Cushing 10mm/280mm",
"EORT765","S/N:","001","ENDER RODS 3.5 / 4.0 1",,,
4,2,1,-1,"22-3527","Ender Nail 3.5mmx27cm",
8,2,1,-1,"22-4032","Ender Nail 4mmx32cm",
"EORT766","S/N:","001","ENDER RODS 4.5 1",,,
1,2,1,-1,"22-4532","Nail Ender 4.5mmfx32cm",
2,2,1,-1,"22-4533","Nail Ender 4.5mmfx33cm",
5,2,1,-1,"22-4537","Nail Ender 4.5mmfx37cm",
12,2,1,-1,"22-4544","Nail Ender 4.5mmfx44cm",
13,2,1,-1,"22-4545","Nail Ender 4.5mmfx45cm",
"EORT767","S/N:","001","PRI PATELLA INSTRUMENTS PAN 40 1",,,
3,1,0,-1,"5977-18-05","Block Grey Minus 5",
9,1,0,-1,"5785-97","Hammer/Extractor Slap",
"EORT793","S/N:","001","STRYKER CE ADVANTAGE GENERAL INSTRUMENTS ""C"" 1",,,
17,2,0,-2,"8000-0000","Handle Version",
"EORT799","S/N:","002","ARTHREX BIO TENODESIS INST SET ""C""2",,,
2,1,0,-1,"AR-1204L","Cannulated Drill 4mm",
"EORT800","S/N:","001","A/O 4.5MM VA-LCP CVD CONDYLAR PLATE SET ""C"" 1",,,
16,1,0,-1,"02.124.412","Plate VA-LCP Condylar Cvd 4.5 12 Hole Right",
"EORT801","S/N:","001","A/O 4.5MM VA-LCP INSTRUMENT AND SCREW SET ""C"" 1",,,
12,6,5,-1,"292.652","Guide Wire Thrd 2x230mm Non-colored",
60,3,1,-2,"02.231.234","Screw VA Locking 5.0x34mm",
61,3,0,-3,"02.231.236","Screw VA Locking 5.0x36mm",
68,3,2,-1,"02.231.250","Screw VA Locking 5.0x50mm",
74,3,0,-3,"02.231.280","Screw VA Locking 5.0x80mm",
75,3,2,-1,"02.231.285","Screw VA Locking 5.0x85mm",
76,3,2,-1,"02.231.290","Screw VA Locking 5.0x90mm",
91,3,1,-2,"02.231.685","Screw VA Locking Cannulated 5.0x85mm",
92,3,2,-1,"02.231.690","Screw VA Locking Cannulated 5.0x90mm",
98,2,1,-1,"324.213","Drill Bit Percutaneous Calibrated 4.3mm",
108,4,2,-2,"324.203","Guide Drill Threaded Percutaneous 4.3mm",
"EORT802","S/N:","001","A/O 4.5MM VA-LCP CVD CONDYLAR AIMING INST ""C"" 1",,,
7,6,5,-1,"03.231.002","Stoppers",
"EORT815","S/N:","001","ORTHOHELIX CALCANEAL PLATES AND SCREWS 1",,,
8,7,4,-3,"CAT-040-16","Guide Wire 1.6",
39,6,4,-2,"MTF-040","Olive Wire",
45,2,1,-1,"CAT-002-LL","Plate Large Left",
"EORT823","S/N:","001","A/O DHS 1 STEP LOCKING SIDE PLATES ""C"" 1",,,
2,1,0,-1,"338.348","Impactor Cap (Plastic)",
3,1,0,-1,"338.347","Key Impactor",
"EORT824","S/N:","001","A/O ANGULAR STABLE LOCKING SYSTEM ""C"" 1",,,
12,2,1,-1,"03.025.135","Drill Reamer Long 6.0mm",
"EORT846","S/N:","001","DEPUY CORAIL TOTAL HIP SYSTEM ""C"" 1",,,
4,1,0,-1,"D257004100","Calcar Planer Sm",
"S/N:","002","DEPUY CORAIL TOTAL HIP SYSTEM ""C"" 2",,,,
30,1,0,-1,"200165000","Head Impactor",
45,1,0,-1,"253155000","Trials Ball Head 36mm White +15.5",
"EORT848","S/N:","004","CURETTE STRAIGHT CURVED ORTHO 4",,,
16,1,0,-1,"KM49-114","Curette Brun 9"" Ang Oval #2",
"EORT852","S/N:","002","A/O FLEXIBLE REAMERS 2",,,
40,2,1,-1,"352.040","5.0mm Flexible Shaft",
"EORT857","S/N:","002","ZIMMER NINOMIYA TIBIAL RESECTION 2",,,
1,1,0,-1,"5785-97","Hammer/Extractor Slap",
"EORT866","S/N:","001","ZIMMER PERSONA FEM GEN KIT ""C"" 1",,,
20,2,0,-2,"42-5399-017-00","Tibial Sizing Plate Handle",
"EORT870","S/N:","001","A/O 2.4MM VA DISTAL RADIUS SET ""C"" 1",,,
49,3,2,-1,"201.756","Screw 6mm",
"S/N:","002","A/O 2.4MM VA DISTAL RADIUS SET ""C"" 2",,,,
94,1,0,-1,"03.110.005","Handle for Torque Limiting Attachment",
104,10,9,-1,"02.111.201.10","Reduction Wire Large Stop 1.25mm",
111,2,1,-1,"329.922","Bending Pin Threaded",
"EORT875","S/N:","001","A/O 2.7/3.5 VA LCP ANKLE TRAUMA INSTR & SCREWS ""C"" 1",,,
70,5,4,-1,"02.127.114","Screw VA Locking 3.5x14mm",
"EORT886","S/N:","001","DR LAW'S FOOT TRAY 1",,,
45,1,0,-1,"10-1570/01","Ronguer - Synovial Slightly Curved",
"EORT891","S/N:","002","DEPUY SUMMIT BROACHES AND TAPERED REAMERS ""C"" 2",,,
12,1,0,-1,"D259807430","Inserter Str",
"EORT907","S/N:","001","DEPUY PROSTALAC 32 & 36 HEAD AND LINER TRIALS ""C"" 1",,,
8,1,0,-1,"253150000","Trials Ball Head 36mm Orange -2",
10,1,0,-1,"253152000","Trials Ball Head 36mm Brown +5",
"EORT908","S/N:","001","ACUMED ACU-LOC 2 V/A WRIST PLATING SET ""C"" 1",,,
58,1,0,-1,"70-0356","VDR Standard Left",
79,1,0,-1,"70-0350","Plate VDR Proximal Standard Left",
147,4,1,-3,"COS2322","Screw Locking Smooth 2.3x22mm",
148,4,3,-1,"COS2324","Screw Locking Smooth 2.3x24mm",
194,4,1,-3,"300258","Screw Non Locking Hexalobe 3.5x14mm",
195,4,2,-2,"300259","Screw Non Locking Hexalobe 3.5x16mm",
196,4,2,-2,"300260","Screw Non Locking Hexalobe 3.5x18mm",
"S/N:","002","ACUMED ACU-LOC 2 V/A WRIST PLATING SET ""C"" 2",,,,
153,4,3,-1,"COT2310","Screw Locking Threaded 2.3x10mm",
181,2,1,-1,"MS-DC28","Drill 2.8mm Qr",
"EORT909","S/N:","001","REVISION CEMENT REMOVAL INSTRUMENTS 1",,,
24,1,0,-1,"2447-32","Extraction Curette 13-1/2"" 10mm",
"EORT910","S/N:","001","REVISION AUXILLARY INSTRUMENTS 1",,,
5,1,0,-1,"6020-24","Osteotome Cvd 15 15° 9mm",
"EORT911","S/N:","001","A/O MODULAR LOCKING CLAVICLE PLATE SYSTEM ""C"" 1",,,
61,2,1,-1,"03.211.001","2.4mm/2.7mm Variable Angle LCP Plate Holding Pins",
"EORT917","S/N:","001","ACUTRAK 2 MICRO EXTENSION SCREW SET 1",,,
2,2,1,-1,"HT-0915","Driver Tips Cannulated",
"EORT926","S/N:","001","STRYKER MATTA PELVIC INSTRUMENTS ""C"" 1",,,
47,1,0,-1,"700354","Drill Bit 4.5 x 180mm",
48,1,0,-1,"703954","Guide Pin Threaded",
"EORT927","S/N:","001","STRYKER MATTA PELVIC SCREWS ""C"" 1",,,
2,4,2,-2,"338610","Screw Cortical Full Thread Self Tapping 3.5 x 10mm",
110,6,5,-1,"390019","Washer 9mm",
"EORT950","S/N:","001","ZIMMER DISTAL LATERAL FIBULAR LCK INSTS & IMPLANTS ""C"" 1",,,
108,1,0,-1,"4814-006","Elevator Periosteal 6mm",
"EORT968","S/N:","001","DEPUY PINN LW PFL GTRPINN TSS LOW PROFILE ACET GRTR ""C"" 1",,,
20,1,0,-1,"244000767","Reamer TSS Low Profile 67mm",
"S/N:","002","DEPUY PINN LW PFL GTRPINN TSS LOW PROFILE ACET GRTR ""C"" 2",,,,
20,1,0,-1,"244000767","Reamer TSS Low Profile 67mm",
"EORT973","S/N:","001","DEPUY DELXTND GLENOID DELTA XTEND ""C"" 1",,,
6,1,0,-1,"230786002","Retractor Glenoid V Shaped Forked",
9,2,1,-1,"230787004","Guide Pin 2.5mm",
17,2,1,-1,"230790005","Drill Bit D2.5 Lg 120mm",
"EORT975","S/N:","001","DEPUY DELXTND HUM 1 DELTA ""C"" 1",,,
10,2,1,-1,"212861070","Glo Adv Ratchet T Handle",
11,2,1,-1,"227432000","OLC T Handle W/Hudson",
32,2,1,-1,"230785000","Hum Resection Protecting Plate",
34,4,3,-1,"249095000","AMK Fixation Pins 1/8 Dia x 3",
35,2,0,-2,"939999315","Drill Bit 3.2mm Diameter",
"EPLA003","S/N:","005","BASIC PLASTIC 5",,,
33,2,1,-1,"MI 1578","Adson - Fine Single Tooth (5')",
"EPLA029","S/N:","001","DR HIJJAWI INSTRUMENTS 1",,,
7,2,0,-2,"KM 41-440","Needleholder  Cutting  12Cm Length",
"EPLA036","S/N:","003","DR LARSON SPECIALS 3",,,
20,1,0,-1,"30-4002","Bovie Handpiece",
"S/N:","004","DR LARSON SPECIALS 4",,,,
20,1,0,-1,"30-4002","Bovie Handpiece",
"EPLA057","S/N:","002","IMPL STRYKER LEIBINGER RAPID MMF/PLASTICS ""C"" 2",,,
1,16,14,-2,"5020358","Screw MMF Cross Pin Self Drilling 8mm",
7,20,11,-9,"01-03490","Ligature Wire Blunt 0.5x160mm 24 Ga (10/P)",
"EPLA063","S/N:","001","IMPL SYNTHES MANDIBLE/PLASTIC ""C"" 1",,,
21,2,1,-1,"317.876","Drill Bit Calibrated - 1.5mm",
28,8,6,-2,"201.928","Screw 2.0 X 8mm",
30,1,0,-1,"313.939","Screwdriver Blade",
32,1,0,-1,"313.925","Screwdriver Self Retaining 2.4/3.0",
37,1,0,-1,"310.532","Drill Bit 2.4mm",
66,2,1,-1,"447.051","Plate Str Adaptation  20 Hole",
67,3,2,-1,"447.053","Plate Str Tension Band  4 Hole",
73,3,2,-1,"447.104","Plate Str Locking Lg 6 Hole",
97,1,0,-1,"329.530","Bend Template F/mand Lock Plate 447.109",
101,2,0,-2,"310.512","Drill Bit 1.8mm  J-Latch",
105,15,14,-1,"401.512","Screw   12mm",
106,15,8,-7,"401.514","Screw   14mm",
107,10,7,-3,"401.516","Screw    16mm",
109,4,2,-2,"401.532","Screw   32mm",
127,2,1,-1,"449.38","Plate  Str  8 Hole",
128,2,1,-1,"449.40","Univ Fract Plate Titn 2.4x80mm Str 10 Hole",
145,2,1,-1,"310.542","Drill Bit 2.4x125mm",
146,2,0,-2,"310.532","Drill Bit 2.4mm",
147,2,1,-1,"449.621","Plate Str 20 Hole",
"EPLA070","S/N:","001","MICRO INST/PLASTIC 1",,,
31,1,0,-1,"65175","Double Clamp Applier",
"S/N:","002","MICRO INST/PLASTIC 2",,,,
18,2,1,-1,"425530","Forcep - Points 0.5mm",
38,1,0,-1,"65150","Clamp Nerve Double Lg",
"S/N:","004","MICRO INST/PLASTIC 4",,,,
11,1,0,-1,"PR804-R","Scissors Iris Cvd Razor Edge",
22,1,0,-1,"D5A","Vessel Dilator - 0.3mm Tip (11Cm)",
28,1,0,-1,"65195","Brachial Artery Clamp",
38,1,0,-1,"65150","Clamp Nerve Double Lg",
"S/N:","006","MICRO INST/PLASTIC 6",,,,
18,2,1,-1,"425530","Forcep - Points 0.5mm",
"EPLA076","S/N:","001","POW ELANE I 1",,,
23,1,0,-1,"ZB252","Cutter - 2.0mm - Long",
"EPLA077","S/N:","001","POW ELANE II 1",,,
14,1,0,-1,"220","Crescent Wrench",
29,1,0,-1,"GC594","Saws Reciprocating",
"EPLA092","S/N:","001","SYNTHES WRIST FUSION 1",,,
36,5,4,-1,"404.028","Screw 3.5mm x 28mm",
"EPLA206","S/N:","004","BACK-UP BIPOLAR TIPS 4",,,
2,1,0,-1,"S03-628NS","Jeweler Str 4.7"" 0.25mm Tip Insulated",
"EPLA224","S/N:","001","STRYKER VARIAX MODULAR HAND SET PLASTIC 1",,,
33,1,0,-1,"5705101","Plate  4 Holes  Str",
41,1,0,-1,"5705191","Plate 3x2 Holes 3-D",
42,1,0,-1,"5705192","Plate 4x2 Holes 3-D",
"EPLA252","S/N:","010","DEEP SOFT TISSUE 10",,,
3,1,0,-1,"16-2414","Suction - Frazier - 10Fr - No Stylet (6"")",
"EPLA255","S/N:","002","IMPL STRYKER MANDIBLE TRAUMA # 2 ""C"" 2",,,
10,10,7,-3,"5020414","Screw Bone Cross Pin  2.0x14mm",
"S/N:","003","IMPL STRYKER MANDIBLE TRAUMA # 2 ""C"" 3",,,,
10,10,2,-8,"5020414","Screw Bone Cross Pin  2.0x14mm",
11,5,4,-1,"5020416","Screw Bone Cross Pin  2.0x16mm",
32,2,1,-1,"6016535","Drill  1.6 X 85mm  26mm Working Length  Stryker End",
57,2,1,-1,"6016035","Drill Working Length 35mm 1.6x115mm Stryker Shaft",
78,1,0,-1,"6217517","Drill Guide Insert For 1.7mm Locking Screws",
79,1,0,-1,"6400132","Mesh Bender",
"EPLA257","S/N:","001","BLEPHAROPLASTY TRAY PLASTICS 1",,,
24,1,0,-1,"15-975-06-01","Retractor Malleable Pointed Sm",
"S/N:","002","BLEPHAROPLASTY TRAY PLASTICS 2",,,,
31,2,0,-2,"E3900","Storz Serrefine Serrated 10mm",
"ERMC001","S/N:","001","SCOPE HYSTERO/REPRODUCTIVE MED CLINIC 1",,,
7,6,5,-1,"574","Adaptors Green",
"EROB003","S/N:","006","DA VINCI INSTRUMENT 6",,,
53,1,0,-1,"A002-00","Cord Monopolar Gray",
"EROB040","S/N:","001","ENT ROBOTIC SET 1",,,
27,1,0,-1,"A002-00","Cord Monopolar Gray",
"WCAR002","S/N:","001","ANEURYSM SPECIALS CARDIAC 1",,,
4,1,0,-1,"54-8024","Scissors Calcium",
"WCAR016","S/N:","001","DR TWEDDEL SPECIALS 1",,,
6,1,0,-1,"35-3662","Clamp Satinsky With Debakey Teeth",
10,1,0,-1,"CH2006-002","Sciss Metzenbaum 9 In",
"WCAR021","S/N:","001","OPEN HEART PAN 1 1",,,
28,1,0,-1,"523120","Forceps Ligaclip Remover",
39,1,0,-1,"NL3785-16","Rhoton Ball Dissector 7-1/2"" 90° 3mm",
43,1,0,-1,"BT080R","Crile Vessel Hook 8"" Blunt 1x8mm",
"S/N:","002","OPEN HEART PAN 1 2",,,,
39,1,0,-1,"NL3785-16","Rhoton Ball Dissector 7-1/2"" 90° 3mm",
43,1,0,-1,"BT080R","Crile Vessel Hook 8"" Blunt 1x8mm",
"S/N:","003","OPEN HEART PAN 1 3",,,,
28,1,0,-1,"523120","Forceps Ligaclip Remover",
"S/N:","004","OPEN HEART PAN 1 4",,,,
34,2,1,-1,"XG006R","Forceps Russian Tissue 10""",
"S/N:","005","OPEN HEART PAN 1 5",,,,
8,1,0,-1,"54-8026","Nelson Scissors 9"" Cvd",
11,1,0,-1,"34-2221","Scissors Jameson  Cvd 7""",
37,2,0,-2,"30-8404","Forceps Debakey Lc Vascular  9-1/2"" 1.8mm",
"WCAR022","S/N:","001","OPEN HEART PAN 2 1",,,
28,2,1,-1,"C6140","Suct Cardiac Tips 45 Degree",
"S/N:","002","OPEN HEART PAN 2 2",,,,
28,2,1,-1,"C6140","Suct Cardiac Tips 45 Degree",
"S/N:","004","OPEN HEART PAN 2 4",,,,
10,1,0,-1,"632-100","Grasping Forceps 32cm 3.5mm Ratchet",
"WCAR057","S/N:","001","SIZER MTRL MOSAIC 1",,,
2,3,2,-1,"7639","Handle",
"WCAR063","S/N:","001","VALVE SPECIALS 1",,,
16,1,0,-1,"RH4700-007","Laryngeal Mirror #4",
"WCAR082","S/N:","001","SYNTHES TITANIUM STERNAL FIXATION SYSTEM ""C"" 1",,,
13,2,0,-2,"329.40.98","Bending Template 37 Holes For Reconstruction Plates",
"WCAR083","S/N:","002","ESTECH MINI INVASIVE INSTRUMENTS CARD INSTRUMENT 2",,,
12,2,1,-1,"HK-90-30-5","Hook",
"WCAR084","S/N:","002","RETR ESTECH (LEAFLET RETRACTOR) 2",,,
14,1,0,-1,"410.111","Introducer Bullet",
"WCAR086","S/N:","002","DR RASHID MINIMALLY INVASIVE INSTRUMENT TRAY 2",,,
9,1,0,-1,"340-7820","Grasper Debakey Sm Jaw",
10,1,0,-1,"340-7824","Grasper Debakey Resano Jaw",
"WCAR104","S/N:","002","DR RASHID SPECIALS 2",,,
10,1,0,-1,"152720","Needleholder Mayo Hegar 6""",
12,2,1,-1,"36-2025","Sternal Needle Holder/wire Twister Tc 7""",
15,4,2,-2,"3003-381","Needle Holder Micro Titanium",
"WCAR118","S/N:","001","MINIMALLY INVASIVE CABG 1",,,
3,1,0,-1,"19-5583","Clamp Fine Rt Ang 12""",
6,2,1,-1,"MRG-3","Ligaclip Appliers",
"WCAR152","S/N:","001","DR ROKKAS SPECIALS 1",,,
3,2,0,-2,"3003-368","Needleholder Legacy Jacobson Round Handle W/Ratchet Str Med 10""",
"S/N:","002","DR ROKKAS SPECIALS 2",,,,
2,2,1,-1,"3003-346","Needle Holder Legacy Jacobson Micro Round Handle 9""",
"WCAR156","S/N:","002","SIZER MITRAL BAND 2",,,
8,1,0,-1,"1174H","Sizer Mitral Band 40mm",
"WCLI004","S/N:","004","MINOR TRAY/GEN SURG CLINIC 4",,,
8,1,0,-1,"BH144R","Clamp Crile 5-1/2"" Str",
"WCLI005","S/N:","004","NEUROLOGY CLINIC 4",,,
15,1,0,-1,"MH11-76","Retr Senn Blunt 6-3/8""",
16,1,0,-1,"MH11-78","Retr Crile Blunt",
"WCLI014","S/N:","001","SEYED/RAD ONC 1",,,
3,2,1,-1,"729","Caps",
6,6,0,-6,"732","Cervical Markers",
7,8,0,-8,"726","Gold Seeds",
"WCLI052","S/N:","002","MINOR TRAY RENAL TX CLINIC 2",,,
7,1,0,-1,"BD222R","Forceps Adson W/O Teeth",
"WENDO013","S/N:","008","LAPSC APPLIER CLIP MICROLINE 8",,,
3,1,0,-1,"3707","Clip Applier Lg",
"WENDO020","S/N:","001","LAPSC DR GOULD NEEDLE DRIVER 1",,,
4,2,1,-1,"250-080-311n","Gator",
"WENT003","S/N:","001","ARCH BARS ENT 1",,,
44,2,1,-1,"LX158R","Wire Cutting Plier Front & Lat 2mm/1.5mm",
"WENT009","S/N:","001","COCHLEAR CI24M 1",,,
3,1,0,-1,"Z33011","Template",
8,2,1,-1,"MI1582","Angled Dilator",
"WENT012","S/N:","001","DILATOR JACKSON 1",,,
4,1,0,-1,"507810","Dilator 10 Fr.",
"WENT013","S/N:","001","DR BLUMIN MICROLARYNGEAL SPECIALS 1",,,
17,1,0,-1,"50-5420","Jackson Alligator Grasper 4mm X 22mm 28Cm",
25,1,0,-1,"50-6870","Suction Open Tip 3mm (Set 2)",
"S/N:","002","DR BLUMIN MICROLARYNGEAL SPECIALS 2",,,,
25,1,0,-1,"50-6870","Suction Open Tip 3mm (Set 2)",
"WENT016","S/N:","002","ENT LARYNGEAL MICRO INSTRUMENTS 2",,,
2,2,1,-1,"LS1023","Ossoff Karlan Microlaryng Suction 4mm",
5,1,0,-1,"605173","Dissector Laryngeal Small",
7,1,0,-1,"605174","Dissector Laryngeal Medium",
"S/N:","003","ENT LARYNGEAL MICRO INSTRUMENTS 3",,,,
2,2,1,-1,"LS1023","Ossoff Karlan Microlaryng Suction 4mm",
"WENT017","S/N:","001","DR RHEE NASAL 1",,,
23,2,1,-1,"BD883R","Gruenwald Bayo Forceps 8"" Serr",
31,1,0,-1,"420-135","Maltz Nasal Rasp 7-1/2"" Coarse",
42,1,0,-1,"410-308","Cinelli Osteotome 6-1/4"" Str Dbl-guard16mm",
61,1,0,-1,"N2306","Ballenger Chisel 6"" Str V-shp 6mm",
83,1,0,-1,"400-160","Forceps Hartmann Nasal Dressing  7"" Str Del",
86,1,0,-1,"11-303","Fcp  Tru-Cut Nasal Forceps",
"S/N:","002","DR RHEE NASAL 2",,,,
92,1,0,-1,"405-180","Asch Septum Straightening Forceps 9"" Ang",
95,1,0,-1,"13-0130","Block Teflon",
"WENT018","S/N:","001","DR RHEE SOFT TISSUE 1",,,
13,2,1,-1,"P2440","Castroviejo (5.5)",
33,2,0,-2,"E1500","Bishops",
39,1,0,-1,"12-0045","Joseph Hook 6-1/2""  2-prng 5mm",
"S/N:","002","DR RHEE SOFT TISSUE 2",,,,
13,2,1,-1,"P2440","Castroviejo (5.5)",
68,1,0,-1,"P391","Facelift Marker  D'Assumpcao (6')",
"WENT020","S/N:","001","DR WOODSON SLEEP APNEA 1",,,
49,1,0,-1,"N6215","Retractor - Love",
55,1,0,-1,"3E2020-01","Evac Bending Tool",
"S/N:","002","DR WOODSON SLEEP APNEA 2",,,,
18,1,0,-1,"101-266","Nelson Metzenbaum Scissors Tc 9"" Str",
21,1,0,-1,"100-297","Reynolds Scissors 7"" Cvd Narrow Tip",
36,1,0,-1,"166503","Probe  6""",
"S/N:","003","DR WOODSON SLEEP APNEA 3",,,,
36,1,0,-1,"166503","Probe  6""",
"WENT021","S/N:","001","EAR INST ENT 1",,,
38,2,1,-1,"N0613","Suction Tip 7 Fr",
"S/N:","004","EAR INST ENT 4",,,,
26,1,0,-1,"R131030","Block Cutting",
34,1,0,-1,"6710-190-012","Silverglide Bipolars",
36,2,1,-1,"N0608","Baron Suction 3"" 3fr",
51,2,1,-1,"N1690-11G","Rosen Suction #20 ( Needle)",
54,2,1,-1,"N1690-11J","Rosen Suction #26 ( Needle)",
55,2,1,-1,"N1705-O","House Adaptor Cut-off",
"WENT022","S/N:","001","EAR TUBE INSERTION 1",,,
23,2,1,-1,"411700","Suction - 3 Fr",
"S/N:","002","EAR TUBE INSERTION 2",,,,
14,1,0,-1,"270100","Curette Ring",
23,2,1,-1,"411700","Suction - 3 Fr",
"WENT023","S/N:","001","EDENTULATION ENT 1",,,
26,1,0,-1,"460-105","Laryngeal Mirror 7"" 22mm Hex Handle #4 (Dental)",
40,2,1,-1,"B-954-L-T-154","Bite-Block Adult",
41,2,1,-1,"B-952-M-T-152","Bite-Block Child",
"WENT024","S/N:","001","ENDOSCOPIC SINUS ENT 1",,,
30,1,0,-1,"586240","Eicken Antrum Cannula Cvd W/l.l. 4mm",
56,1,0,-1,"053135","Cottle Elevator 9"" D/E Graduted",
59,1,0,-1,"466151","Forceps Bayonet",
106,1,0,-1,"23-0868","Weil Blakesley Suction Forceps Ped 45° Up 2.5x5.5mm",
109,1,0,-1,"653000","Forceps Grasping Cvd 90° ( 5-6)",
"S/N:","002","ENDOSCOPIC SINUS ENT 2",,,,
35,1,0,-1,"529305","Suction Frazier Tube 5fr Cailibrated",
46,2,1,-1,"030101","Vienna Nasal Speculum #1",
80,1,0,-1,"455500","Forceps Takahashi     (1 - 1)",
"S/N:","003","ENDOSCOPIC SINUS ENT 3",,,,
55,2,1,-1,"355194","Elevator Freer",
68,1,0,-1,"051150","Cottle Osteotome Rounded 4mm",
"WENT025","S/N:","001","EYE INST ENT 1",,,
5,1,0,-1,"456006","Knife Handle Beaver 10Cm",
9,2,0,-2,"3372","Fcp  Bishops - Del. Teeth  (3.3                       #11",
11,2,1,-1,"E6760","Fcp  Fine - Smooth                                           #12",
13,2,1,-1,"3442","Fcp  Points - .3  (4 1/4')                                   #14",
30,3,1,-2,"4130","Needle Holder  Castroviejo Locking  5-1/2""   #25",
40,1,0,-1,"005600","Knapp Lacrimal Sac Retractor",
42,1,0,-1,"421660","Retractor Rake  #32",
44,3,1,-2,"OP2321","Oconner Hook 5-1/2"" S/",
52,2,0,-2,"0230","Bulldog Serraphine ( Storz #41)",
53,2,0,-2,"E3000","Bulldog Serraphine                                   #41",
54,1,0,-1,"N613","Suction Handle #7 Micro",
55,1,0,-1,"N608","Suction Tip 3 Fr",
"WENT028","S/N:","001","FIBULA FLAP/ENT 1",,,
62,1,0,-1,"FK310R","Joseph Elevator 6-1/4"" Cvd 4mm",
"WENT030","S/N:","001","HELIX/ENT 1",,,
5,1,0,-1,"CI-4420","Bte/Device Marking Template",
"WENT038","S/N:","001","KARTUSCH ENT 1",,,
12,2,1,-1,"13-52415","Cable",
"WENT044","S/N:","001","LACRIMAL/ENT 1",,,
9,2,1,-1,"E4220","Quickert Lacrimal Probe #0",
